,Sno,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Postal_Code,Age,Domicile_Name,Date_of_Interview,Status,LOB,Location,Region_Name
39,7082,3035075,No,6,60,E2,33.33,137.78,78.33,No,No,Male,Employee Referral,8,201301,33,Jharkhand,24-08-2013,Joined,ERS,Noida,North
40,7914,3245878,No,34,30,E1,55.56,33.33,-14.29,No,No,Male,Direct,5,201301,26,Jharkhand,29-09-2013,Joined,ERS,Noida,North
41,9330,3334214,Yes,18,45,E1,40,20,-14.29,No,Yes,Male,Agency,3,201301,34,Jharkhand,17-02-2014,Joined,ERS,Noida,North
42,9615,3355762,Yes,30,60,E2,94.41,62.01,-16.67,Yes,No,Male,Agency,6,201301,34,Jharkhand,23-05-2013,Joined,ERS,Noida,North
43,447,3538488,No,28,60,E3,-23.08,-23.08,0,No,No,Male,Employee Referral,10,201301,32,Chandigarh,15-01-2014,Joined,ERS,Noida,North
44,935,2182197,Yes,18,0,E1,75,62.5,-7.14,No,No,Female,Employee Referral,4,201301,27,Chandigarh,08-02-2013,Joined,ERS,Noida,North
45,1027,2192448,Yes,12,0,E1,45,45,0,No,No,Female,Direct,5,201301,27,Chandigarh,05-01-2013,Joined,ERS,Noida,North
46,2636,2323426,Yes,7,90,E1,9.09,-4.55,-12.5,No,No,Male,Agency,3,201301,31,Chandigarh,30-08-2013,Joined,ERS,Noida,North
47,3789,2411541,No,0,30,E1,59.09,77.27,11.43,No,No,Male,Direct,2,201301,24,Chandigarh,22-09-2013,Joined,ERS,Noida,North
48,3828,2416751,No,2,0,E1,69.64,60.71,-5.26,No,No,Male,Employee Referral,4,201301,28,Chandigarh,01-10-2013,Joined,ERS,Noida,North
49,4746,2483082,No,25,60,E1,28.57,28.57,0,No,No,Male,Direct,3,201301,31,Chandigarh,25-01-2014,Not Joined,ERS,Noida,North
50,4788,2483367,Yes,11,60,E1,33.93,17.19,-12.5,No,No,Male,Direct,3,201301,29,Chandigarh,30-01-2014,Joined,ERS,Noida,North
51,4971,2544315,No,38,30,E1,33.33,130,72.5,No,Yes,Male,Direct,3,201301,28,Chandigarh,21-11-2013,Joined,ERS,Noida,North
52,5222,2564860,No,63,60,E2,18.18,163.64,123.08,No,No,Male,Agency,7,201301,32,Chandigarh,26-09-2013,Joined,ERS,Noida,North
53,5606,2597654,Yes,77,60,E1,22.22,46.67,20,No,No,Male,Agency,3,201301,32,Chandigarh,30-05-2014,Joined,ERS,Noida,North
54,5682,2604190,Yes,4,60,E1,18.18,13.64,-3.85,No,No,Male,Agency,5,201301,30,Chandigarh,03-01-2013,Joined,ERS,Noida,North
55,5911,2618247,No,5,60,E1,20,20,0,No,No,Male,Agency,4,201301,33,Chandigarh,15-01-2013,Joined,ERS,Noida,North
56,7480,3204249,Yes,3,0,E1,58.33,56.25,-1.32,No,No,Male,Employee Referral,3,201301,26,Chandigarh,15-09-2013,Joined,ERS,Noida,North
57,7588,3218293,Yes,21,60,E1,33.33,-6.67,-30,No,No,Male,Agency,2,201301,23,Chandigarh,16-10-2013,Joined,ERS,Noida,North
58,11176,3537793,No,17,30,E1,53.85,34.62,-12.5,No,No,Male,Direct,2,201301,34,Chandigarh,17-05-2013,Joined,ERS,Noida,North
59,11415,3599823,Yes,11,30,E1,25,45.83,16.67,No,No,Male,Agency,2,201301,34,Chandigarh,24-03-2013,Joined,ERS,Noida,North
60,11625,3618684,No,7,30,E1,42.86,42.86,0,No,No,Female,Direct,2,201301,34,Chandigarh,22-04-2013,Joined,ERS,Noida,North
61,22,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,201301,34,Tripura,23-05-2013,Joined,ERS,Noida,North
62,949,2183879,No,9,45,E1,33.33,-1.11,-25.83,No,No,Male,Direct,2,201301,26,Tripura,12-02-2013,Joined,ERS,Noida,North
63,1356,2217251,Yes,31,75,E1,33.33,52.22,14.17,No,No,Male,Direct,4,201301,26,Tripura,15-04-2013,Not Joined,ERS,Noida,North
64,2034,2282504,Yes,118,120,E2,15.38,30,12.67,No,No,Male,Direct,6,201301,35,Tripura,20-05-2013,Not Joined,ERS,Noida,North
65,4446,2463902,Yes,5,60,E2,22.22,88.89,54.55,No,No,Female,Direct,6,201301,37,Tripura,11-02-2014,Joined,ERS,Noida,North
66,5384,2578992,Yes,47,60,E2,31.82,4.55,-20.69,No,Yes,Male,Employee Referral,8,201301,32,Tripura,31-05-2013,Joined,ERS,Noida,North
67,6033,2780364,Yes,19,75,E1,50,37.5,-8.33,No,Yes,Female,Agency,2,201301,25,Tripura,17-02-2013,Joined,ERS,Noida,North
68,8263,3262461,No,22,30,E1,33.33,31.11,-1.67,No,Yes,Male,Agency,3,201301,26,Tripura,29-09-2013,Joined,ERS,Noida,North
69,9431,3347573,No,4,60,E1,55.56,55.56,0,No,No,Female,Direct,4,201301,34,Tripura,16-08-2013,Joined,ERS,Noida,North
70,10037,3393405,No,1,30,E1,81.82,93.18,6.25,No,No,Male,Direct,1,201301,34,Tripura,04-07-2014,Not Joined,ERS,Noida,North
71,10063,3399675,Yes,5,60,E1,90.48,58.73,-16.67,No,No,Male,Agency,3,201301,34,Tripura,16-07-2014,Not Joined,ERS,Noida,North
72,11544,3612211,No,1,0,E2,6.25,-28.13,-32.35,Yes,No,Female,Employee Referral,9,201301,34,Tripura,11-04-2013,Joined,ERS,Noida,North
73,11893,3664439,Yes,22,0,E1,12.49,-22.95,-31.5,No,No,Female,Direct,3,201301,34,Tripura,17-06-2013,Joined,ERS,Noida,North
74,1172,2206061,Yes,18,30,E1,38.89,52.78,10,No,Yes,Male,Employee Referral,3,201301,26,West Bengal,17-02-2013,Joined,ERS,Noida,North
75,1381,2218251,No,4,60,E1,25,10.42,-11.67,No,No,Female,Agency,4,201301,28,West Bengal,22-04-2013,Not Joined,ERS,Noida,North
76,2597,2322764,No,1,30,E1,38.3,11.7,-19.23,No,No,Male,Agency,3,201301,26,West Bengal,22-08-2013,Not Joined,ERS,Noida,North
77,3074,2361236,No,0,30,E2,33.33,27.78,-4.17,No,No,Male,Employee Referral,9,201301,39,West Bengal,30-09-2013,Joined,ERS,Noida,North
78,4402,2460590,No,3,60,E2,9.09,90.91,75,No,No,Male,Agency,6,201301,30,West Bengal,30-01-2014,Not Joined,ERS,Noida,North
79,4676,2478677,No,2,30,E1,22.22,-15.56,-30.91,No,No,Male,Agency,3,201301,27,West Bengal,16-01-2014,Joined,ERS,Noida,North
80,5115,2556407,No,4,45,E1,40.63,50,6.67,No,No,Male,Direct,3,201301,26,West Bengal,14-05-2013,Not Joined,ERS,Noida,North
81,5616,2598166,Yes,55,90,E2,25,8.75,-13,No,No,Male,Employee Referral,9,201301,36,West Bengal,12-06-2014,Joined,ERS,Noida,North
82,5985,2636727,Yes,70,90,E1,56.86,42.16,-9.38,No,Yes,Female,Direct,4,201301,27,West Bengal,07-02-2013,Joined,ERS,Noida,North
83,7883,3239459,No,63,45,E1,33.33,33.33,0,No,No,Female,Agency,3,201301,29,West Bengal,22-09-2013,Joined,ERS,Noida,North
84,8144,3256713,Yes,5,60,E1,33.33,22.22,-8.33,No,Yes,Female,Agency,2,201301,25,West Bengal,06-12-2013,Joined,ERS,Noida,North
85,8447,3270949,No,33,60,E1,33.33,-22.22,-41.67,No,No,Male,Agency,2,201301,25,West Bengal,22-11-2013,Joined,ERS,Noida,North
86,8587,3283728,No,4,60,E1,20,20,0,No,No,Male,Agency,3,201301,25,West Bengal,23-12-2013,Joined,ERS,Noida,North
87,9205,3327673,Yes,110,90,E2,50,43.33,-4.44,No,Yes,Male,Direct,6,201301,34,West Bengal,25-01-2014,Joined,ERS,Noida,North
88,9295,3333572,Yes,12,30,E1,50,-10,-40,Yes,Yes,Male,Agency,2,201301,34,West Bengal,08-02-2014,Joined,ERS,Noida,North
89,9778,3377296,No,1,30,E1,44.44,33.33,-7.69,No,No,Male,Direct,5,201301,34,West Bengal,17-11-2013,Joined,ERS,Noida,North
90,9786,3378379,Yes,2,60,E1,25,-13.75,-31,No,No,Male,Agency,3,201301,34,West Bengal,25-11-2013,Not Joined,ERS,Noida,North
91,10125,3411248,No,40,30,E1,57.14,68.57,7.27,No,Yes,Male,Agency,2,201301,34,West Bengal,28-04-2014,Joined,ERS,Noida,North
92,12122,3727613,Yes,2,30,E1,40,30,-7.14,No,No,Male,Agency,4,201301,34,West Bengal,27-07-2013,Joined,ERS,Noida,North
93,213,2780669,Yes,29,60,,33.33,266.67,175,No,No,Male,Agency,9,201301,32,Uttarkhand,11-05-2013,Not Joined,ERS,Noida,North
94,1440,2221002,No,1,0,E3,25,3.13,-17.5,No,Yes,Male,Direct,12,201301,36,Uttarkhand,05-05-2013,Joined,ERS,Noida,North
95,3519,2383039,Yes,2,45,E1,20,-24,-36.67,No,No,Female,Employee Referral,1,201301,25,Uttarkhand,29-10-2013,Joined,ERS,Noida,North
96,4980,2544566,No,2,30,E1,22.22,-20,-34.55,No,No,Male,Employee Referral,3,201301,28,Uttarkhand,05-01-2014,Joined,ERS,Noida,North
97,5108,2556369,No,2,60,E1,33.33,30,-2.5,No,No,Male,Direct,2,201301,25,Uttarkhand,03-05-2013,Joined,ERS,Noida,North
98,5225,2564898,Yes,18,60,E1,22.22,122.22,81.82,No,No,Female,Agency,5,201301,28,Uttarkhand,28-09-2013,Not Joined,ERS,Noida,North
99,5237,2565104,Yes,62,60,E2,46.15,43.08,-2.11,No,No,Male,Agency,6,201301,32,Uttarkhand,21-10-2013,Not Joined,ERS,Noida,North
100,5673,2604073,No,3,30,E1,18.18,5.45,-10.77,No,No,Female,Agency,4,201301,28,Uttarkhand,30-07-2014,Joined,ERS,Noida,North
101,6507,2828580,No,3,45,E1,22.22,0,-18.18,No,No,Female,Agency,2,201301,27,Uttarkhand,26-03-2013,Joined,ERS,Noida,North
102,6737,2855621,Yes,3,60,E1,33.33,22.22,-8.33,No,No,Female,Agency,3,201301,26,Uttarkhand,21-05-2013,Not Joined,ERS,Noida,North
103,6913,2926989,Yes,84,75,E1,33.33,33.33,0,No,No,Female,Agency,3,201301,27,Uttarkhand,09-07-2013,Joined,ERS,Noida,North
104,10123,3407969,No,9,0,E1,17.65,-13.24,-26.25,No,No,Male,Direct,6,201301,34,Uttarkhand,27-04-2014,Joined,ERS,Noida,North
105,10411,3443472,Yes,4,60,E2,23.29,33.56,8.33,No,No,Male,Agency,6,201301,34,Uttarkhand,11-02-2013,Joined,ERS,Noida,North
106,11272,3577521,Yes,18,0,E1,55.56,33.33,-14.29,No,No,Male,Employee Referral,4,201301,34,Uttarkhand,02-06-2013,Joined,ERS,Noida,North
107,11523,3608107,No,17,30,E1,86.57,49.25,-20,No,Yes,Male,Employee Referral,3,201301,34,Uttarkhand,07-04-2013,Joined,ERS,Noida,North
108,966,2185479,Yes,35,60,E2,22.86,22.86,0,No,No,Male,Employee Referral,7,201301,35,Delhi,17-02-2013,Joined,ERS,Noida,North
109,1275,2212607,No,0,0,E1,16.67,16.67,0,No,Yes,Female,Direct,4,201301,30,Delhi,24-03-2013,Joined,ERS,Noida,North
110,1700,2235336,No,5,75,E1,33.33,44.44,8.33,Yes,No,Male,Employee Referral,3,201301,26,Delhi,24-03-2013,Not Joined,ERS,Noida,North
111,4081,2431523,Yes,7,60,E1,22.22,16.67,-4.55,No,No,Male,Agency,3,201301,29,Delhi,10-12-2013,Joined,ERS,Noida,North
112,4313,2452252,Yes,49,60,E1,25,20.83,-3.33,No,No,Male,Agency,4,201301,27,Delhi,19-01-2014,Not Joined,ERS,Noida,North
113,4680,2478704,Yes,17,30,E1,-5,35.71,42.86,No,No,Male,Agency,3,201301,28,Delhi,17-01-2014,Joined,ERS,Noida,North
114,5814,2613491,Yes,28,30,E1,18.18,20,1.54,No,No,Male,Agency,3,201301,25,Delhi,16-02-2013,Joined,ERS,Noida,North
115,6174,2794645,Yes,27,30,E2,40,40,0,No,Yes,Male,Agency,6,201301,29,Delhi,31-03-2013,Joined,ERS,Noida,North
116,6244,2807646,No,27,30,E1,21.74,19.57,-1.79,No,No,Male,Direct,5,201301,29,Delhi,20-04-2013,Joined,ERS,Noida,North
117,7590,3218302,No,12,30,E2,33.33,122.22,66.67,No,No,Male,Agency,7,201301,32,Delhi,16-10-2013,Joined,ERS,Noida,North
118,7892,3243067,Yes,35,60,E2,33.33,96.67,47.5,No,No,Male,Agency,6,201301,32,Delhi,24-09-2013,Joined,ERS,Noida,North
119,8361,3266829,No,24,90,E2,30,20,-7.69,No,No,Male,Agency,8,201301,36,Delhi,29-10-2013,Not Joined,ERS,Noida,North
120,9755,3374718,Yes,14,45,E2,30,-2.5,-25,Yes,No,Male,Agency,7,201301,34,Delhi,28-10-2013,Joined,ERS,Noida,North
121,11051,3524562,Yes,10,60,E1,58.45,25,-21.11,No,No,Male,Direct,2,201301,34,Delhi,27-04-2013,Joined,ERS,Noida,North
122,11333,3587458,Yes,1,30,E2,-5.21,-5.21,0,No,No,Male,Employee Referral,8,201301,34,Delhi,02-06-2013,Joined,ERS,Noida,North
123,459,3632340,No,5,0,E1,-24.35,-16.79,10,No,No,Male,Agency,2,201301,25,Madhya Pradesh,08-01-2013,Joined,ERS,Noida,North
124,681,2149945,Yes,1,0,E2,40,50,7.14,No,Yes,Female,Direct,8,201301,34,Madhya Pradesh,08-04-2014,Joined,ERS,Noida,North
125,5302,2569376,Yes,1,45,E1,-4.76,-7.14,-2.5,No,No,Male,Direct,6,201301,33,Madhya Pradesh,21-12-2013,Joined,ERS,Noida,North
126,5503,2590754,Yes,33,60,E2,22.22,177.78,127.27,No,Yes,Male,Agency,6,201301,31,Madhya Pradesh,29-06-2014,Joined,ERS,Noida,North
127,5676,2604125,No,13,60,E1,18.18,25.45,6.15,No,No,Female,Agency,5,201301,29,Madhya Pradesh,02-01-2013,Not Joined,ERS,Noida,North
128,6242,2807594,Yes,5,30,E1,50,50,0,No,No,Female,Direct,5,201301,28,Madhya Pradesh,19-04-2013,Joined,ERS,Noida,North
129,6625,2839829,No,6,45,E1,33.33,-1.11,-25.83,No,No,Male,Agency,3,201301,25,Madhya Pradesh,25-04-2013,Joined,ERS,Noida,North
130,7919,3245925,No,16,30,E1,185.71,209.52,8.33,No,No,Female,Direct,1,201301,24,Madhya Pradesh,01-10-2013,Joined,ERS,Noida,North
131,8446,3270941,Yes,6,30,E1,33.33,6.67,-20,No,No,Male,Agency,3,201301,27,Madhya Pradesh,22-11-2013,Joined,ERS,Noida,North
132,9698,3359891,Yes,3,30,E1,65.09,53.3,-7.14,No,Yes,Male,Direct,4,201301,34,Madhya Pradesh,31-08-2013,Joined,ERS,Noida,North
133,734,2156827,Yes,6,45,E1,33.33,0,-25,No,No,Female,Agency,2,201301,27,Chhattisgarh,30-05-2014,Joined,ERS,Noida,North
134,1125,2200307,No,44,60,E1,30.21,30.21,0,No,Yes,Male,Direct,3,201301,26,Chhattisgarh,07-02-2013,Joined,ERS,Noida,North
135,1355,2217246,No,5,0,E1,22.81,22.81,0,No,Yes,Male,Direct,3,201301,26,Chhattisgarh,14-04-2013,Joined,ERS,Noida,North
136,1758,2247238,No,1,0,E1,65.78,28.72,-22.35,No,Yes,Male,Direct,5,201301,30,Chhattisgarh,04-04-2013,Joined,ERS,Noida,North
137,2350,2286029,Yes,3,45,E2,18.18,41.82,20,No,Yes,Male,Employee Referral,7,201301,33,Chhattisgarh,05-07-2013,Joined,ERS,Noida,North
138,3494,2382677,Yes,3,60,E1,33.33,33.33,0,No,Yes,Female,Agency,3,201301,27,Chhattisgarh,25-10-2013,Joined,ERS,Noida,North
139,5675,2604103,No,6,45,E1,22.22,22.22,0,No,No,Male,Agency,4,201301,31,Chhattisgarh,04-08-2014,Not Joined,ERS,Noida,North
140,5946,2635174,Yes,110,60,E2,33.33,116.67,62.5,No,No,Male,Agency,7,201301,60,Chhattisgarh,23-01-2013,Not Joined,ERS,Noida,North
141,5958,2635532,No,2,30,E1,18.18,-45.45,-53.85,No,No,Male,Employee Referral,2,201301,28,Chhattisgarh,29-01-2013,Joined,ERS,Noida,North
142,7851,3235198,Yes,43,60,E1,78.57,60.71,-10,No,Yes,Male,Agency,3,201301,26,Chhattisgarh,14-09-2013,Joined,ERS,Noida,North
143,9326,3334125,No,12,45,E1,37.5,47.5,7.27,No,No,Male,Agency,3,201301,34,Chhattisgarh,16-02-2014,Not Joined,ERS,Noida,North
144,10337,3434355,Yes,16,30,E1,33.33,28.89,-3.33,No,No,Male,Employee Referral,4,201301,34,Chhattisgarh,22-01-2013,Joined,ERS,Noida,North
145,1319,2214818,Yes,1,60,E2,22.22,106.67,69.09,No,No,Male,Employee Referral,6,201301,29,Gujarat,01-04-2013,Joined,ERS,Noida,North
146,2417,2286861,Yes,1,30,E1,5.42,5.42,0,No,No,Male,Direct,3,201301,29,Gujarat,13-07-2013,Joined,ERS,Noida,North
147,2569,2318388,Yes,1,30,E1,50,22,-18.67,No,No,Male,Agency,4,201301,27,Gujarat,16-08-2013,Not Joined,ERS,Noida,North
148,2715,2341377,No,44,60,E2,28.57,20,-6.67,No,No,Male,Agency,6,201301,36,Gujarat,26-06-2013,Joined,ERS,Noida,North
149,4750,2483111,Yes,29,60,E1,85.19,66.67,-10,No,No,Male,Direct,3,201301,26,Gujarat,26-01-2014,Joined,ERS,Noida,North
150,5150,2560478,Yes,17,60,E1,9.09,9.09,0,No,No,Female,Agency,5,201301,37,Gujarat,10-06-2013,Joined,ERS,Noida,North
151,5152,2560519,No,25,60,E1,18.18,63.64,38.46,No,No,Male,Agency,4,201301,27,Gujarat,11-06-2013,Not Joined,ERS,Noida,North
152,7105,3040063,No,23,30,E2,33.33,166.67,100,Yes,No,Female,Employee Referral,6,201301,29,Gujarat,30-08-2013,Joined,ERS,Noida,North
153,8205,3257531,No,6,30,E1,33.33,0,-25,No,No,Male,Agency,2,201301,27,Gujarat,14-09-2013,Joined,ERS,Noida,North
154,8215,3257780,No,20,45,E1,33.33,-20,-40,No,No,Male,Agency,2,201301,26,Gujarat,15-09-2013,Joined,ERS,Noida,North
155,8286,3263037,No,6,60,E1,33.33,31.11,-1.67,No,Yes,Male,Agency,4,201301,28,Gujarat,02-10-2013,Joined,ERS,Noida,North
156,9791,3379393,Yes,28,60,E1,48.88,61.29,8.33,Yes,No,Male,Direct,3,201301,34,Gujarat,27-11-2013,Joined,ERS,Noida,North
157,11482,3606401,No,0,30,E1,66.67,66.67,0,No,No,Male,Agency,2,201301,34,Gujarat,01-04-2013,Joined,ERS,Noida,North
158,581,2126389,Yes,17,60,E2,33.33,177.78,108.33,No,No,Male,Direct,6,201301,30,Tamil Nadu,15-05-2014,Joined,ERS,Noida,North
159,1114,2199313,No,0,0,E1,39.34,8.2,-22.35,No,Yes,Male,Direct,4,201301,27,Tamil Nadu,03-02-2013,Joined,ERS,Noida,North
160,1138,2201082,No,5,0,E1,25,87.5,50,No,Yes,Female,Direct,3,201301,26,Tamil Nadu,10-02-2013,Joined,ERS,Noida,North
161,1574,2225111,Yes,9,60,E1,36.36,18.18,-13.33,Yes,No,Female,Agency,4,201301,28,Tamil Nadu,25-05-2013,Joined,ERS,Noida,North
162,2619,2323100,No,3,60,E1,33.33,52.22,14.17,No,No,Female,Agency,4,201301,29,Tamil Nadu,26-08-2013,Joined,ERS,Noida,North
163,4094,2434939,No,31,90,E1,33.33,-5.56,-29.17,No,No,Female,Agency,3,201301,27,Tamil Nadu,12-12-2013,Joined,ERS,Noida,North
164,4108,2437459,Yes,23,60,E1,42.86,33.93,-6.25,No,No,Male,Direct,1,201301,24,Tamil Nadu,16-12-2013,Joined,ERS,Noida,North
165,4384,2460281,Yes,3,90,E1,22.22,33.33,9.09,No,No,Male,Direct,3,201301,26,Tamil Nadu,27-01-2014,Not Joined,ERS,Noida,North
166,4777,2483301,No,7,30,E1,22.22,11.11,-9.09,No,No,Female,Direct,5,201301,27,Tamil Nadu,29-01-2014,Joined,ERS,Noida,North
167,5240,2565145,No,3,30,E2,22.22,233.33,172.73,No,No,Male,Agency,8,201301,33,Tamil Nadu,23-10-2013,Joined,ERS,Noida,North
168,5328,2575909,No,12,60,E2,50,62.5,8.33,No,No,Male,Agency,6,201301,31,Tamil Nadu,08-01-2014,Not Joined,ERS,Noida,North
169,8578,3283402,No,7,30,E1,33.33,11.11,-16.67,No,Yes,Male,Agency,3,201301,31,Tamil Nadu,22-12-2013,Joined,ERS,Noida,North
170,8689,3287746,Yes,4,45,E1,33.33,0,-25,No,No,Male,Agency,2,201301,25,Tamil Nadu,11-01-2014,Not Joined,ERS,Noida,North
171,8707,3288635,No,4,30,E1,33.33,-11.11,-33.33,No,No,Male,Agency,2,201301,26,Tamil Nadu,14-01-2014,Joined,ERS,Noida,North
172,10041,3395836,Yes,3,30,E2,50,13.13,-24.58,No,No,Male,Employee Referral,7,201301,34,Tamil Nadu,06-07-2014,Not Joined,ERS,Noida,North
173,10385,3442965,Yes,26,45,E1,44.4,17.33,-18.75,Yes,No,Male,Agency,5,201301,34,Tamil Nadu,05-02-2013,Joined,ERS,Noida,North
